id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
1,2008,Bangalore,18-04-2008,KKR,RCB,RCB,field,M Chinnaswamy Stadium,KKR,0,0,0,0,0,0
2,2008,Chandigarh,19-04-2008,CSK,KXIP,CSK,bat,"Punjab Cricket Association Stadium, Mohali",CSK,0,0,0,0,0,0
3,2008,Delhi,19-04-2008,RR,DD,RR,bat,Feroz Shah Kotla,DD,0,0,0,0,0,0
4,2008,Mumbai,20-04-2008,MI,RCB,MI,bat,Wankhede Stadium,RCB,0,0,0,0,0,0
5,2008,Kolkata,20-04-2008,DC,KKR,DC,bat,Eden Gardens,KKR,0,0,0,0,0,0
6,2008,Jaipur,21-04-2008,KXIP,RR,KXIP,bat,Sawai Mansingh Stadium,RR,0,0,0,0,0,0
7,2008,Hyderabad,22-04-2008,DC,DD,DC,bat,"Rajiv Gandhi International Stadium, Uppal",DD,0,0,0,0,0,0
8,2008,Chennai,23-04-2008,CSK,MI,MI,field,"MA Chidambaram Stadium, Chepauk",CSK,0,0,0,0,0,0
9,2008,Hyderabad,24-04-2008,DC,RR,RR,field,"Rajiv Gandhi International Stadium, Uppal",RR,0,0,0,0,0,0
10,2008,Chandigarh,25-04-2008,KXIP,MI,MI,field,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,0,0,0,0
11,2008,Bangalore,26-04-2008,RCB,RR,RR,field,M Chinnaswamy Stadium,RR,0,0,0,0,0,0
12,2008,Chennai,26-04-2008,KKR,CSK,KKR,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,0,0,0,0
13,2008,Mumbai,27-04-2008,MI,DC,DC,field,Dr DY Patil Sports Academy,DC,0,0,0,0,0,0
14,2008,Chandigarh,27-04-2008,DD,KXIP,DD,bat,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,0,0,0,0
15,2008,Bangalore,28-04-2008,CSK,RCB,CSK,bat,M Chinnaswamy Stadium,CSK,0,0,0,0,0,0
16,2008,Kolkata,29-04-2008,KKR,MI,KKR,bat,Eden Gardens,MI,0,0,0,0,0,0
17,2008,Delhi,30-04-2008,DD,RCB,RCB,field,Feroz Shah Kotla,DD,0,0,0,0,0,0
18,2008,Hyderabad,01-05-2008,DC,KXIP,KXIP,field,"Rajiv Gandhi International Stadium, Uppal",KXIP,0,0,0,0,0,0
19,2008,Jaipur,01-05-2008,RR,KKR,RR,bat,Sawai Mansingh Stadium,RR,0,0,0,0,0,0
20,2008,Chennai,02-05-2008,CSK,DD,CSK,bat,"MA Chidambaram Stadium, Chepauk",DD,0,0,0,0,0,0
21,2008,Hyderabad,25-05-2008,DC,RCB,DC,bat,"Rajiv Gandhi International Stadium, Uppal",RCB,0,0,0,0,0,0
22,2008,Chandigarh,03-05-2008,KXIP,KKR,KXIP,bat,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,0,0,0,0
23,2008,Mumbai,04-05-2008,MI,DD,DD,field,Dr DY Patil Sports Academy,MI,0,0,0,0,0,0
24,2008,Jaipur,04-05-2008,CSK,RR,CSK,bat,Sawai Mansingh Stadium,RR,0,0,0,0,0,0
25,2008,Bangalore,05-05-2008,RCB,KXIP,KXIP,field,M Chinnaswamy Stadium,KXIP,0,0,0,0,0,0
26,2008,Chennai,06-05-2008,CSK,DC,DC,field,"MA Chidambaram Stadium, Chepauk",DC,0,0,0,0,0,0
27,2008,Mumbai,07-05-2008,RR,MI,MI,field,Dr DY Patil Sports Academy,MI,0,0,0,0,0,0
28,2008,Delhi,08-05-2008,DD,CSK,CSK,field,Feroz Shah Kotla,CSK,0,0,0,0,0,0
29,2008,Kolkata,08-05-2008,KKR,RCB,KKR,bat,Eden Gardens,KKR,0,0,0,0,0,0
30,2008,Jaipur,09-05-2008,DC,RR,RR,field,Sawai Mansingh Stadium,RR,0,0,0,0,0,0
31,2008,Bangalore,28-05-2008,RCB,MI,MI,field,M Chinnaswamy Stadium,MI,0,0,0,0,0,0
32,2008,Chennai,10-05-2008,CSK,KXIP,KXIP,field,"MA Chidambaram Stadium, Chepauk",CSK,0,0,0,0,0,0
33,2008,Hyderabad,11-05-2008,KKR,DC,KKR,bat,"Rajiv Gandhi International Stadium, Uppal",KKR,0,0,0,0,0,0
34,2008,Jaipur,11-05-2008,DD,RR,RR,field,Sawai Mansingh Stadium,RR,0,0,0,0,0,0
35,2008,Chandigarh,12-05-2008,RCB,KXIP,RCB,bat,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,0,0,0,0
36,2008,Kolkata,13-05-2008,KKR,DD,KKR,bat,Eden Gardens,KKR,0,0,0,0,0,0
37,2008,Mumbai,14-05-2008,CSK,MI,MI,field,Wankhede Stadium,MI,0,0,0,0,0,0
38,2008,Chandigarh,28-05-2008,KXIP,RR,RR,field,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,0,0,0,0
39,2008,Delhi,15-05-2008,DD,DC,DC,field,Feroz Shah Kotla,DD,0,0,0,0,0,0
40,2008,Mumbai,16-05-2008,KKR,MI,MI,field,Wankhede Stadium,MI,0,0,0,0,0,0
41,2008,Delhi,17-05-2008,DD,KXIP,DD,bat,Feroz Shah Kotla,KXIP,0,0,0,0,0,0
42,2008,Jaipur,17-05-2008,RR,RCB,RCB,field,Sawai Mansingh Stadium,RR,0,0,0,0,0,0
43,2008,Hyderabad,18-05-2008,MI,DC,DC,field,"Rajiv Gandhi International Stadium, Uppal",MI,0,0,0,0,0,0
44,2008,Kolkata,18-05-2008,KKR,CSK,KKR,bat,Eden Gardens,CSK,0,0,0,0,0,0
45,2008,Bangalore,19-05-2008,RCB,DD,DD,field,M Chinnaswamy Stadium,DD,0,0,0,0,0,0
46,2008,Kolkata,20-05-2008,KKR,RR,RR,field,Eden Gardens,RR,0,0,0,0,0,0
47,2008,Mumbai,21-05-2008,KXIP,MI,MI,field,Wankhede Stadium,KXIP,0,0,0,0,0,0
48,2008,Chennai,21-05-2008,RCB,CSK,RCB,bat,"MA Chidambaram Stadium, Chepauk",RCB,0,0,0,0,0,0
49,2008,Chandigarh,23-05-2008,DC,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,0,0,0,0
50,2008,Delhi,24-05-2008,MI,DD,DD,field,Feroz Shah Kotla,DD,0,0,0,0,0,0
51,2008,Chennai,24-05-2008,RR,CSK,RR,bat,"MA Chidambaram Stadium, Chepauk",RR,0,0,0,0,0,0
52,2008,Bangalore,03-05-2008,RCB,DC,DC,field,M Chinnaswamy Stadium,RCB,0,0,0,0,0,0
53,2008,Kolkata,25-05-2008,KXIP,KKR,KXIP,bat,Eden Gardens,KKR,0,0,0,0,0,0
54,2008,Jaipur,26-05-2008,MI,RR,RR,field,Sawai Mansingh Stadium,RR,0,0,0,0,0,0
55,2008,Hyderabad,27-05-2008,DC,CSK,DC,bat,"Rajiv Gandhi International Stadium, Uppal",CSK,0,0,0,0,0,0
56,2008,Mumbai,30-05-2008,RR,DD,DD,field,Wankhede Stadium,RR,0,0,0,0,0,0
57,2008,Mumbai,31-05-2008,KXIP,CSK,KXIP,bat,Wankhede Stadium,CSK,0,0,0,0,0,0
58,2008,Mumbai,01-06-2008,CSK,RR,RR,field,Dr DY Patil Sports Academy,RR,0,0,0,0,0,0
59,2009,Cape Town,18-04-2009,MI,CSK,CSK,field,Newlands,MI,0,0,0,0,0,0
60,2009,Cape Town,18-04-2009,RCB,RR,RCB,bat,Newlands,RCB,0,0,0,0,0,0
