season,team,teamPlayerPtsSum,,,,,,,,
2008,CSK,1630.5,,,,,,,,
2008,DD,1484,,,,,,,,
2008,DC,1358.5,,,,,,,,
2008,KKR,1245,,,,,,,,
2008,KXIP,1734,,,,,,,,
2008,MI,1540.5,,,,,,,,
2008,RCB,1272.5,,,,,,,,
2008,RR,1840,,,,,,,,
2009,CSK,1550,,,,,,,,
2009,DD,1399.25,,,,,,,,
2009,DC,1718,,,,,,,,
2009,KKR,1091,,,,,,,,
2009,KXIP,1257.5,,,,,,,,
2009,MI,1433,,,,,,,,
2009,RCB,1461,,,,,,,,
2009,RR,1191.5,,,,,,,,
2010,CSK,1826.5,,,,,,,,
2010,DD,1314.5,,,,,,,,
2010,DC,1694.5,,,,,,,,
2010,KKR,1222.5,,,,,,,,
2010,KXIP,1433.5,,,,,,,,
2010,MI,1682.5,,,,,,,,
2010,RCB,1802.5,,,,,,,,
2010,RR,1339,,,,,,,,
2011,CSK,1773,,,,,,,,
2011,DD,1350,,,,,,,,
2011,DC,1617,,,,,,,,
2011,KKR,1541.5,,,,,,,,
2011,KXIP,1624.5,,,,,,,,
2011,MI,1618.5,,,,,,,,
2011,RCB,1737,,,,,,,,
2011,RR,1188,,,,,,,,
2011,KTK,1338.5,,,,,,,,
2011,PW,1307.5,,,,,,,,
2012,CSK,1865,,,,,,,,
2012,DD,1626.5,,,,,,,,
2012,DC,1477,,,,,,,,
2012,KKR,1594.5,,,,,,,,
2012,KXIP,1576,,,,,,,,
2012,MI,1758,,,,,,,,
2012,RCB,1721,,,,,,,,
2012,RR,1355,,,,,,,,
2012,PW,1213.5,,,,,,,,
2013,CSK,2111.5,,,,,,,,
2013,DD,1453.5,,,,,,,,
2013,SH,1883.5,,,,,,,,
2013,KKR,1619,,,,,,,,
2013,KXIP,1508.5,,,,,,,,
2013,MI,2226.5,,,,,,,,
2013,RCB,1807.5,,,,,,,,
2013,RR,1967.5,,,,,,,,
2013,PW,1446.5,,,,,,,,
2014,CSK,1848,,,,,,,,
2014,DD,1116.5,,,,,,,,
2014,SH,1501.5,,,,,,,,
2014,KKR,1719.5,,,,,,,,
2014,KXIP,2031.5,,,,,,,,
2014,MI,1423.5,,,,,,,,
2014,RCB,1436.5,,,,,,,,
2014,RR,1390,,,,,,,,
2015,CSK,2130.5,,,,,,,,
2015,DD,1410.5,,,,,,,,
2015,SH,1436,,,,,,,,
2015,KKR,1483.5,,,,,,,,
2015,KXIP,1309.5,,,,,,,,
2015,MI,1949.5,,,,,,,,
2015,RCB,1678.5,,,,,,,,
2015,RR,1485,,,,,,,,
2016,GL,1704,,,,,,,,
2016,DD,1299,,,,,,,,
2016,SH,1787.5,,,,,,,,
2016,KKR,1505.5,,,,,,,,
2016,KXIP,1253.5,,,,,,,,
2016,MI,1537.5,,,,,,,,
2016,RCB,1875.5,,,,,,,,
2016,RPS,1201,,,,,,,,
2017,GL,1360,,,,,,,,
2017,DD,1450,,,,,,,,
2017,SH,1461.5,,,,,,,,
2017,KKR,1643.5,,,,,,,,
2017,KXIP,1428.5,,,,,,,,
2017,MI,1787,,,,,,,,
2017,RCB,1169.5,,,,,,,,
2017,RPS,1795,,,,,,,,
