id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away,winner
1,2008,Bangalore,18-04-2008,KKR,RCB,RCB,field,M Chinnaswamy Stadium,95.76923077,90.85714286,13,14,1245,1272,home
2,2008,Chandigarh,19-04-2008,CSK,KXIP,CSK,bat,"Punjab Cricket Association Stadium, Mohali",101.875,115.6,16,15,1630,1734,home
3,2008,Delhi,19-04-2008,RR,DD,RR,bat,Feroz Shah Kotla,115,106,16,14,1840,1484,away
4,2008,Mumbai,20-04-2008,MI,RCB,MI,bat,Wankhede Stadium,110,90.85714286,14,14,1540,1272,away
5,2008,Kolkata,20-04-2008,DC,KKR,DC,bat,Eden Gardens,97,95.76923077,14,13,1358,1245,away
6,2008,Jaipur,21-04-2008,KXIP,RR,KXIP,bat,Sawai Mansingh Stadium,115.6,115,15,16,1734,1840,away
7,2008,Hyderabad,22-04-2008,DC,DD,DC,bat,"Rajiv Gandhi International Stadium, Uppal",97,106,14,14,1358,1484,away
8,2008,Chennai,23-04-2008,CSK,MI,MI,field,"MA Chidambaram Stadium, Chepauk",101.875,110,16,14,1630,1540,home
9,2008,Hyderabad,24-04-2008,DC,RR,RR,field,"Rajiv Gandhi International Stadium, Uppal",97,115,14,16,1358,1840,away
10,2008,Chandigarh,25-04-2008,KXIP,MI,MI,field,"Punjab Cricket Association Stadium, Mohali",115.6,110,15,14,1734,1540,home
11,2008,Bangalore,26-04-2008,RCB,RR,RR,field,M Chinnaswamy Stadium,90.85714286,115,14,16,1272,1840,away
12,2008,Chennai,26-04-2008,KKR,CSK,KKR,bat,"MA Chidambaram Stadium, Chepauk",95.76923077,101.875,13,16,1245,1630,away
13,2008,Mumbai,27-04-2008,MI,DC,DC,field,Dr DY Patil Sports Academy,110,97,14,14,1540,1358,away
14,2008,Chandigarh,27-04-2008,DD,KXIP,DD,bat,"Punjab Cricket Association Stadium, Mohali",106,115.6,14,15,1484,1734,away
15,2008,Bangalore,28-04-2008,CSK,RCB,CSK,bat,M Chinnaswamy Stadium,101.875,90.85714286,16,14,1630,1272,home
16,2008,Kolkata,29-04-2008,KKR,MI,KKR,bat,Eden Gardens,95.76923077,110,13,14,1245,1540,away
17,2008,Delhi,30-04-2008,DD,RCB,RCB,field,Feroz Shah Kotla,106,90.85714286,14,14,1484,1272,home
18,2008,Hyderabad,01-05-2008,DC,KXIP,KXIP,field,"Rajiv Gandhi International Stadium, Uppal",97,115.6,14,15,1358,1734,away
19,2008,Jaipur,01-05-2008,RR,KKR,RR,bat,Sawai Mansingh Stadium,115,95.76923077,16,13,1840,1245,home
20,2008,Chennai,02-05-2008,CSK,DD,CSK,bat,"MA Chidambaram Stadium, Chepauk",101.875,106,16,14,1630,1484,away
21,2008,Hyderabad,25-05-2008,DC,RCB,DC,bat,"Rajiv Gandhi International Stadium, Uppal",97,90.85714286,14,14,1358,1272,away
22,2008,Chandigarh,03-05-2008,KXIP,KKR,KXIP,bat,"Punjab Cricket Association Stadium, Mohali",115.6,95.76923077,15,13,1734,1245,home
23,2008,Mumbai,04-05-2008,MI,DD,DD,field,Dr DY Patil Sports Academy,110,106,14,14,1540,1484,home
24,2008,Jaipur,04-05-2008,CSK,RR,CSK,bat,Sawai Mansingh Stadium,101.875,115,16,16,1630,1840,away
25,2008,Bangalore,05-05-2008,RCB,KXIP,KXIP,field,M Chinnaswamy Stadium,90.85714286,115.6,14,15,1272,1734,away
26,2008,Chennai,06-05-2008,CSK,DC,DC,field,"MA Chidambaram Stadium, Chepauk",101.875,97,16,14,1630,1358,away
27,2008,Mumbai,07-05-2008,RR,MI,MI,field,Dr DY Patil Sports Academy,115,110,16,14,1840,1540,away
28,2008,Delhi,08-05-2008,DD,CSK,CSK,field,Feroz Shah Kotla,106,101.875,14,16,1484,1630,away
29,2008,Kolkata,08-05-2008,KKR,RCB,KKR,bat,Eden Gardens,95.76923077,90.85714286,13,14,1245,1272,home
30,2008,Jaipur,09-05-2008,DC,RR,RR,field,Sawai Mansingh Stadium,97,115,14,16,1358,1840,away
31,2008,Bangalore,28-05-2008,RCB,MI,MI,field,M Chinnaswamy Stadium,90.85714286,110,14,14,1272,1540,away
32,2008,Chennai,10-05-2008,CSK,KXIP,KXIP,field,"MA Chidambaram Stadium, Chepauk",101.875,115.6,16,15,1630,1734,home
33,2008,Hyderabad,11-05-2008,KKR,DC,KKR,bat,"Rajiv Gandhi International Stadium, Uppal",95.76923077,97,13,14,1245,1358,home
34,2008,Jaipur,11-05-2008,DD,RR,RR,field,Sawai Mansingh Stadium,106,115,14,16,1484,1840,away
35,2008,Chandigarh,12-05-2008,RCB,KXIP,RCB,bat,"Punjab Cricket Association Stadium, Mohali",90.85714286,115.6,14,15,1272,1734,away
36,2008,Kolkata,13-05-2008,KKR,DD,KKR,bat,Eden Gardens,95.76923077,106,13,14,1245,1484,home
